date,stress,individual_sleep,organizational_workload,organizational_control,ambient_temperature,ambient_humidity,ambient_precipitation,ambient_cloudcover,user,organizational_socialinteraction,stress_tolerance
2013-11-15,2,5,3,3,3,5,5,5,u18,2,3
2013-11-18,2,3,3,5,3,5,1,5,u18,1,3
2013-11-19,2,4,4,2,3,5,1,5,u18,1,3
2013-11-20,2,2,2,4,3,5,1,5,u18,3,3
2013-11-21,1,4,1,1,3,5,1,2,u18,1,3
2013-11-22,1,4,1,3,2,5,5,5,u18,1,3
2013-11-25,1,1,1,5,3,3,1,1,u18,5,3
2013-11-26,1,3,1,3,2,1,1,1,u18,2,3
2013-11-27,1,4,1,1,2,2,1,1,u18,2,3
2013-11-28,1,5,1,2,2,3,1,1,u18,3,3
2013-11-29,1,4,2,1,3,4,1,1,u18,5,3
2013-12-02,1,4,1,4,3,1,1,2,u18,2,3
2013-12-03,1,5,1,2,3,3,1,1,u18,3,3
2013-12-04,1,4,1,3,3,3,1,1,u18,2,3
2013-12-05,1,3,1,1,3,3,1,1,u18,1,3
2013-12-06,1,4,1,1,3,4,1,1,u18,3,3
2013-12-09,1,4,1,1,2,4,1,1,u18,2,3
2013-12-10,1,5,1,1,3,2,1,1,u18,2,3
2013-12-11,1,4,1,1,3,4,1,1,u18,3,3
2013-12-12,1,2,2,2,3,4,1,1,u18,4,3
2013-12-13,1,4,1,2,3,4,1,1,u18,1,3
2013-12-16,1,5,1,3,3,4,1,1,u18,3,3
2013-12-17,1,5,2,3,3,4,1,1,u18,1,3
2013-12-18,1,4,2,3,3,4,1,1,u18,3,3
2013-12-19,1,1,3,2,3,4,1,1,u18,3,3
2013-12-20,1,4,2,3,3,5,1,5,u18,2,3
2013-11-05,1,3,2,1,3,5,1,5,u21,1,2
2013-11-06,1,4,3,2,3,5,1,5,u21,2,2
2013-11-07,1,4,4,1,3,5,1,1,u21,4,2
2013-11-08,1,3,3,1,3,5,1,5,u21,5,2
2013-11-11,1,3,3,3,2,3,1,4,u21,3,2
2013-11-12,3,4,3,3,3,2,1,3,u21,4,2
2013-11-13,3,4,4,3,3,4,1,4,u21,4,2
2013-11-14,2,3,3,2,3,4,1,5,u21,1,2
2013-11-15,2,4,4,3,3,5,5,5,u21,2,2
2013-11-18,2,3,1,3,3,5,1,5,u21,2,2
2013-11-19,3,4,4,2,3,5,1,5,u21,1,2
2013-11-20,3,4,3,3,3,5,1,5,u21,2,2
2013-11-21,3,4,5,2,3,5,1,2,u21,4,2
2013-11-22,2,4,2,2,2,5,5,5,u21,1,2
2013-11-25,3,3,2,3,3,3,1,1,u21,1,2
2013-11-26,1,4,2,5,2,1,1,1,u21,4,2
2013-11-27,2,4,3,3,2,2,1,1,u21,2,2
2013-11-28,2,4,4,3,2,3,1,1,u21,2,2
2013-11-29,1,4,2,2,3,4,1,1,u21,2,2
2013-12-02,3,2,3,4,3,1,1,2,u21,4,2
2013-12-03,2,3,3,4,3,3,1,1,u21,5,2
2013-12-04,1,4,1,4,3,3,1,1,u21,3,2
2013-12-05,1,3,2,3,3,3,1,1,u21,4,2
2013-12-06,2,3,2,2,3,4,1,1,u21,4,2
2013-12-09,3,3,4,5,2,4,1,1,u21,5,2
2013-12-10,3,3,3,4,3,2,1,1,u21,1,2
2013-12-11,1,2,2,1,3,4,1,1,u21,4,2
2013-12-12,1,3,1,1,3,4,1,1,u21,1,2
2013-12-13,1,2,1,2,3,4,1,1,u21,1,2
2013-12-16,2,2,3,4,3,4,1,1,u21,2,2
2013-12-17,1,3,4,2,3,4,1,1,u21,3,2
2013-12-18,1,4,1,1,3,4,1,1,u21,1,2
2013-12-19,1,4,1,1,3,4,1,1,u21,1,2
2013-12-20,1,4,2,1,3,5,1,5,u21,1,2
2013-11-04,3,4,4,4,3,5,2,5,u24,5,1
2013-11-05,2,2,4,4,3,5,1,5,u24,3,1
2013-11-06,2,3,4,5,3,5,1,5,u24,1,1
2013-11-07,2,3,4,4,3,5,1,1,u24,5,1
2013-11-11,1,3,4,3,2,3,1,4,u24,4,1
2013-11-12,2,3,4,4,3,2,1,3,u24,4,1
2013-11-13,1,3,4,4,3,4,1,4,u24,2,1
2013-11-14,1,3,4,4,3,4,1,5,u24,1,1
2013-11-15,1,3,4,4,3,5,5,5,u24,5,1
2013-11-18,2,3,3,4,3,5,1,5,u24,2,1
2013-11-19,1,3,3,4,3,5,1,5,u24,4,1
2013-11-20,1,3,4,4,3,5,1,5,u24,1,1
2013-11-22,1,3,3,4,2,5,5,5,u24,1,1
2013-11-25,3,1,4,3,3,3,1,1,u24,5,1
2013-11-26,1,4,3,3,2,1,1,1,u24,3,1
2013-11-27,3,2,4,4,2,2,1,1,u24,2,1
2013-11-28,2,3,4,4,2,3,1,1,u24,3,1
2013-11-29,3,3,3,4,3,4,1,1,u24,5,1
2013-12-04,3,3,4,4,3,3,1,1,u24,3,1
2013-12-05,2,3,4,3,3,3,1,1,u24,1,1
2013-12-06,3,3,3,4,3,4,1,1,u24,3,1
2013-12-09,2,3,4,4,2,4,1,1,u24,1,1
2013-12-11,3,3,3,4,3,4,1,1,u24,4,1
2013-12-13,3,2,3,3,3,4,1,1,u24,3,1
2013-12-16,3,3,3,4,3,4,1,1,u24,1,1
2013-12-17,3,3,3,4,3,4,1,1,u24,2,1
2013-12-18,3,3,4,4,3,4,1,1,u24,1,1
2013-12-19,1,2,3,4,3,4,1,1,u24,1,1
2013-11-04,1,3,5,1,3,5,2,5,u25,1,3
2013-11-05,3,1,5,3,3,5,1,5,u25,1,3
2013-11-06,2,3,4,1,3,5,1,5,u25,1,3
2013-11-07,3,4,5,1,3,5,1,1,u25,1,3
2013-11-08,3,3,4,1,3,5,1,5,u25,1,3
2013-11-11,1,4,4,1,2,3,1,4,u25,1,3
2013-11-12,1,4,4,1,3,2,1,3,u25,1,3
2013-11-13,1,5,4,1,3,4,1,4,u25,1,3
2013-11-14,2,4,5,1,3,4,1,5,u25,1,3
2013-11-15,2,4,5,1,3,5,5,5,u25,1,3
2013-11-18,2,4,4,1,3,5,1,5,u25,1,3
2013-11-19,1,4,2,1,3,5,1,5,u25,1,3
2013-11-20,1,4,3,1,3,5,1,5,u25,1,3
2013-11-21,1,3,5,2,3,5,1,2,u25,1,3
2013-11-22,2,4,3,1,2,5,5,5,u25,1,3
2013-11-25,1,4,3,1,3,3,1,1,u25,3,3
2013-11-26,1,3,3,2,2,1,1,1,u25,1,3
2013-11-27,2,4,3,2,2,2,1,1,u25,2,3
2013-11-28,2,4,5,1,2,3,1,1,u25,3,3
2013-11-29,2,3,2,1,3,4,1,1,u25,1,3
2013-12-02,1,4,2,1,3,1,1,2,u25,1,3
2013-12-03,2,4,3,1,3,3,1,1,u25,1,3
2013-12-04,1,4,2,1,3,3,1,1,u25,2,3
2013-12-05,3,4,4,2,3,3,1,1,u25,1,3
2013-12-06,2,4,3,1,3,4,1,1,u25,2,3
2013-12-09,1,4,2,1,2,4,1,1,u25,2,3
2013-12-10,1,4,3,1,3,2,1,1,u25,5,3
2013-12-11,1,4,2,1,3,4,1,1,u25,2,3
2013-12-12,3,4,4,2,3,4,1,1,u25,1,3
2013-12-13,2,3,2,2,3,4,1,1,u25,1,3
2013-12-16,1,4,2,1,3,4,1,1,u25,1,3
2013-12-17,1,4,3,2,3,4,1,1,u25,1,3
2013-12-18,1,4,2,1,3,4,1,1,u25,1,3
2013-12-19,3,5,5,2,3,4,1,1,u25,2,3
2013-12-20,3,5,3,1,3,5,1,5,u25,1,3
2013-11-01,2,1,5,5,3,5,1,1,u28,1,2
2013-11-12,2,3,3,5,3,2,1,3,u28,1,2
2013-11-13,2,3,3,5,3,4,1,4,u28,1,2
2013-11-14,2,4,3,5,3,4,1,5,u28,1,2
2013-11-15,1,3,2,2,3,5,5,5,u28,1,2
2013-11-18,2,3,3,5,3,5,1,5,u28,1,2
2013-11-19,2,3,4,4,3,5,1,5,u28,3,2
2013-11-20,1,2,3,4,3,5,1,5,u28,3,2
2013-11-21,1,4,2,3,3,5,1,2,u28,2,2
2013-11-22,2,2,3,5,2,5,5,5,u28,2,2
2013-11-25,1,1,3,5,3,3,1,1,u28,4,2
2013-11-26,2,4,3,5,2,1,1,1,u28,3,2
2013-11-27,2,3,3,5,2,2,1,1,u28,5,2
2013-11-28,2,2,3,5,2,3,1,1,u28,1,2
2013-11-29,1,2,3,5,3,4,1,1,u28,2,2
2013-12-02,2,2,3,5,3,1,1,2,u28,1,2
2013-12-04,1,3,2,5,3,3,1,1,u28,1,2
2013-12-05,3,1,3,5,3,3,1,1,u28,1,2
2013-12-09,2,1,3,5,2,4,1,1,u28,3,2
2013-12-10,2,3,4,5,3,2,1,1,u28,3,2
2013-12-11,3,3,5,5,3,4,1,1,u28,1,2
2013-12-12,3,3,4,5,3,4,1,1,u28,1,2
2013-12-13,2,4,4,4,3,4,1,1,u28,1,2
2013-12-16,3,3,4,4,3,4,1,1,u28,4,2
2013-12-17,2,3,3,4,3,4,1,1,u28,3,2
2013-12-18,2,2,4,5,3,4,1,1,u28,3,2
2013-12-19,3,3,4,5,3,4,1,1,u28,1,2
2013-12-20,3,3,4,5,3,5,1,5,u28,1,2
2013-11-07,3,4,3,3,3,5,1,1,u30,1,2
2013-11-08,2,2,3,4,3,5,1,5,u30,1,2
2013-11-11,2,4,3,3,2,3,1,4,u30,1,2
2013-11-12,2,4,3,3,3,2,1,3,u30,1,2
2013-11-13,1,4,3,2,3,4,1,4,u30,2,2
2013-11-14,1,1,3,3,3,4,1,5,u30,1,2
2013-11-15,3,1,4,2,3,5,5,5,u30,2,2
2013-11-18,3,4,3,4,3,5,1,5,u30,4,2
2013-11-19,3,2,4,4,3,5,1,5,u30,3,2
2013-11-20,3,4,4,2,3,5,1,5,u30,2,2
2013-11-21,2,2,3,4,3,5,1,2,u30,3,2
2013-11-22,1,4,4,3,2,5,5,5,u30,2,2
2013-11-25,2,2,3,4,3,3,1,1,u30,3,2
2013-11-26,1,4,5,1,2,1,1,1,u30,3,2
2013-11-27,1,1,5,1,2,2,1,1,u30,3,2
2013-11-28,3,2,4,3,2,3,1,1,u30,5,2
2013-11-29,3,2,5,3,3,4,1,1,u30,2,2
2013-12-02,1,4,4,2,3,1,1,2,u30,2,2
2013-12-03,1,1,5,1,3,3,1,1,u30,2,2
2013-12-04,3,4,5,5,3,3,1,1,u30,2,2
2013-12-05,1,4,4,4,3,3,1,1,u30,3,2
2013-12-06,2,4,4,3,3,4,1,1,u30,1,2
2013-12-09,1,2,5,2,2,4,1,1,u30,3,2
2013-12-10,1,5,4,2,3,2,1,1,u30,3,2
2013-12-11,3,2,5,1,3,4,1,1,u30,4,2
2013-12-13,2,4,5,3,3,4,1,1,u30,4,2
2013-12-16,1,2,4,2,3,4,1,1,u30,3,2
2013-12-18,3,1,4,4,3,4,1,1,u30,3,2
2013-12-19,1,4,4,4,3,4,1,1,u30,3,2
2013-12-20,1,4,3,3,3,5,1,5,u30,3,2
